nibs-gsin,bpr-opi,gsin-description_en,gsin-description_fr,gsin-code-status_en,gsin-code-status_fr,date-file-published
JX3610A,"[""VAN""]","Duplicating Equipment - Repair and Overhaul","Équipement de duplication - réparation et révision",Active,Actif,"2023-02-27 22:50:03"
JX3610AA,"[""VAN""]","Photocopying Machines and Accessories - Repair","Machines à photocopier et accessoires - réparation",Active,Actif,"2023-02-27 22:50:03"
JX7830B,"[""VAN""]","Recreational Bowling Alleys - Repair","Divertissement, boulodrome - réparation",Active,Actif,"2023-02-27 22:50:03"
N3610BE,"[""VAN""]","Photocopying Machines and Accessories","Machines à photocopier et accessoires",Active,Actif,"2023-02-27 22:50:03"
N3610BEC,"[""VAN""]","Photocopier Control/Audit System","Machine à photocopier, système de commande et contrôle",Active,Actif,"2023-02-27 22:50:03"
N3610BED,"[""VAN""]","Photocopying Machines, Laser-Intelligent Copier","Machines à photocopier, duplicateur intelligent au laser",Active,Actif,"2023-02-27 22:50:03"
N3610BEL,"[""VAN""]","Photocopying Machines, Full Colour","Machines à photocopier, tout en couleur",Active,Actif,"2023-02-27 22:50:03"
N7025095,"[""VAN""]","PRINTERS PAGE COLOUR","Imprimante page par page couleur",Active,Actif,"2023-02-27 22:50:03"
N7025099,"[""VAN""]","PRINTERS, PAGE, LASER","Imprimantes page par page, laser",Active,Actif,"2023-02-27 22:50:03"
N7025101,"[""VAN""]","PRINTERS, LINE (BAND, CHAIN, DRUM, TRAIN, ETC.)","Imprimantes ligne par ligne, à bande, à chaîne, à tambour, à train, etc.",Active,Actif,"2023-02-27 22:50:03"
N7025102,"[""VAN""]","PRINTERS, IMPACT DOT MATRIX","Imprimantes, par point impact",Active,Actif,"2023-02-27 22:50:03"
N7025104,"[""VAN""]","PRINTERS, INK JET","Imprimantes, à jet d'encre",Active,Actif,"2023-02-27 22:50:03"
N7025105,"[""VAN""]","PRINTERS INK JET COLOUR","Imprimante couleur à jet d'encre",Active,Actif,"2023-02-27 22:50:03"
N7025090,"[""VAN""]","PRINTERS, BAR CODE","Imprimantes, code à barres",Active,Actif,"2023-02-27 22:50:03"
N7025130,"[""VAN""]","PLOTTERS, ON LINE","Traceurs, en circuit",Active,Actif,"2023-02-27 22:50:03"
N7025134,"[""VAN""]","Scanners, Document","Scanneurs, document",Active,Actif,"2023-02-27 22:50:03"
N7035190,"[""VAN""]","PLOTTERS (STAND ALONE)","Traceurs autonomes",Active,Actif,"2023-02-27 22:50:03"
N7045126,"[""VAN""]","Toner, Cartridge, Virgin, for various types of Printers and Facsimile Machines","Cartouche de toner neuve, pour divers types d'imprimantes et de télécopieurs",Active,Actif,"2023-02-27 22:50:03"
N7045127,"[""VAN""]","Toner, Cartridge, Remanufactured, for various types of Printers and Facsimile Machines","Cartouche de toner remise à neuf, pour divers types d'imprimantes et de télécopieurs",Active,Actif,"2023-02-27 22:50:03"
WL3610,"[""VAN""]","PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING","Équipement d'impression, de duplication et de reliure - location",Active,Actif,"2023-02-27 22:50:03"
WL3610AA,"[""VAN""]","PHOTOCOPYING MACHINES - LEASE","Machines à photocopier - location à bail",Active,Actif,"2023-02-27 22:50:03"
WL3610AB,"[""VAN""]","Photocopying Machines, N.E.S. - Lease","Machines à photocopier - location à bail",Active,Actif,"2023-02-27 22:50:03"
WL3610AD,"[""VAN""]","PHOTOCOPYING MACHINES, LIBRARY BOOK - LEASE","Machines à photocopieur, reproduction de livres de bibliothèque - location à bail",Active,Actif,"2023-02-27 22:50:03"
WL3610AE,"[""VAN""]","PHOTOCOPYING MACHINES, ENGINEERING - LEASE","Machines à photocopier, ingénierie - location à bail",Active,Actif,"2023-02-27 22:50:03"
WL3610AF,"[""VAN""]","PHOTOCOPYING MACHINES, LASER, INTELLIGENT COPIER - LEASE","Machines à photocopier, duplicateur intelligent au laser - location à bail",Active,Actif,"2023-02-27 22:50:03"
WL3610B,"[""VAN""]","PHOTOCOPYING MACHINES, FULL COLOUR - LEASE","Machines à photocopier, tout en couleur - location à bail",Active,Actif,"2023-02-27 22:50:03"
WL3610C,"[""VAN""]","Digital Photocopiers, Printers and Multifunctional Devices (MFDs) - Lease","Photocopieurs numériques, imprimantes et appareils multifonctionnels (AMF) - Location",Active,Actif,"2023-02-27 22:50:03"
WL7025AJ,"[""VAN""]","PRINTERS, PAGE, LASER - LEASE","Imprimantes page par page à laser - location à bail",Active,Actif,"2023-02-27 22:50:03"
WR3610,"[""VAN""]","PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT - RENTAL","Équipement d'impression, de duplication et de reliure - location",Active,Actif,"2023-02-27 22:50:03"
WR3610A,"[""VAN""]","COPYING MACHINE, DIAZO PROCESS (WHITE PRINTER) - RENTAL","Duplicateur, procédé diazo (imprimante sur blanc) - location",Active,Actif,"2023-02-27 22:50:03"
WR3610AA,"[""VAN""]","PHOTOCOPYING MACHINES AND ACCESSORIES - RENTAL","Machines et accessoires à photocopie - location",Active,Actif,"2023-02-27 22:50:03"
WR3610AB,"[""VAN""]","Photocopying Machine, N.E.S. - Rent","Machines à photocopier, location",Active,Actif,"2023-02-27 22:50:03"
WR3610AC,"[""VAN""]","PHOTOCOPIER CONTROL/AUDIT SYSTEM - RENT","Machine à photocopier, système de commande et contrôle - location",Active,Actif,"2023-02-27 22:50:03"
WR7025B,"[""VAN""]","PRINTERS, PAGE, OTHER (ION, ELECTROSTATIC, ETC.) - RENT","Imprimantes page par page, autres, ioniques, électrostatiques, etc. - location",Active,Actif,"2023-02-27 22:50:03"
WR7035AN,"[""VAN""]","PLOTTERS (STAND ALONE) - RENT","Traceurs autonomes - location",Active,Actif,"2023-02-27 22:50:03"
R122C,"[""VAN""]","Managed Print Services","Service de gestion de l'impression - Consultation",Active,Actif,"2023-02-27 22:50:03"
JX5810,"[""QD""]","Communications Security Equipment and Components - Repair","Équipement de sécurité des télécommunications et composants - réparation",Active,Actif,"2023-02-27 22:50:03"
JX5811,"[""QD""]","Other Cryptologic Equipment and Components - Repair","Autres équipements cryptographiques et composants - réparation",Active,Actif,"2023-02-27 22:50:03"
N1830999,"[""QD""]","Space Vehicle Remote Control Systems Electrical and Electronic Components and Spares","Systèmes commande à distance des véhicules spatiaux, composants rechanges électriques et électroniques",Active,Actif,"2023-02-27 22:50:03"
N5805039,"[""QD""]","Telephone Central Offices, Dial, Manufacture to Drawings","Centrales téléphoniques, automatiques, fabrication conforme aux plans",Active,Actif,"2023-02-27 22:50:03"
N5805050,"[""QD""]","Telephone System, Transportable","Système téléphonique transportable",Active,Actif,"2023-02-27 22:50:03"
N5805051,"[""QD""]","Telephone Systems, Sound Powered","Systèmes téléphoniques, autogénérateurs",Active,Actif,"2023-02-27 22:50:03"
N5805060,"[""QD""]","Telephone System, Transportable, Voice/Data Channel Multiplexers, Low Capacity","Système téléphonique transportable, multiplexeurs des voies téléphoniques/de données, faible capacité",Active,Actif,"2023-02-27 22:50:03"
N5805993,"[""QD""]","Repeater Telegraph Electrical and Electronic Components and Spares","Répéteur télégraphique, composants et rechanges électriques et électroniques",Active,Actif,"2023-02-27 22:50:03"
N5805998,"[""QD""]","Telephone and Telegraph Tactical, Operational and Special Application Systems, Including Ground and Ship Communication Systems and Systems Installation","Systèmes téléphonique et télégraphique, tactiques, opérationnels et spéciaux, comprenant les systèmes de communication terre/mer et installation des systèmes",Active,Actif,"2023-02-27 22:50:03"
N5805098,"[""QD""]","Switching Systems, Special Design","Systèmes de commutation, modèle spécial",Active,Actif,"2023-02-27 22:50:03"
N5805118,"[""QD""]","Terminals, Telephone and Telegraph Equipment, Special Design","Terminaux, équipements téléphonique et télégraphique, modèle spécial",Active,Actif,"2023-02-27 22:50:03"
N5805119,"[""QD""]","Terminals, Telephone Telegraph Equipment Miscellaneous","Terminaux, équipements téléphonique et télégraphique, divers",Active,Actif,"2023-02-27 22:50:03"
N5895010,"[""QD""]","Communication Systems, Radio, Except Armoured Fighting Vehicles and Aircraft","Systèmes de télécommunications, radio, sauf véhicules blindés de combat et aéronefs",Active,Actif,"2023-02-27 22:50:03"
WL5810,"[""QD""]","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS - LEASING","Équipement de sécurité des télécommunications et composants - location à bail",Active,Actif,"2023-02-27 22:50:03"
WR5810,"[""QD""]","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS - RENTAL","Équipement de sécurité des télécommunications et composants - location",Active,Actif,"2023-02-27 22:50:03"
R007A,"[""QD""]","System Engineering Services","Services de génie des systèmes",Active,Actif,"2023-02-27 22:50:03"
K105AB,"[""LS""]","Armoured Car Service","Services de véhicule blindé",Active,Actif,"2023-02-27 22:50:03"
R103A,"[""LS""]","Courier Service","Service de messagerie",Active,Actif,"2023-02-27 22:50:03"
V001A,"[""LS""]","Freight and Cargo Services","Services de fret et de cargo",Active,Actif,"2023-02-27 22:50:03"
V001AA,"[""LM""]","Freight and Cargo Services, Including Marshalling, Packaging, Crating and Storage and Forwarding Services","Services de transport et chargement, incluant triage, conditionnement, emballage et services d'entreposage et d'expédition",Active,Actif,"2023-02-27 22:50:03"
