UNSPSC-Code,UNSPSC-Description-eng,UNSPSC-Description-fra,HierarchyLevel-NiveauHierarchique,CommodityType-TypeProduit-eng,CommodityType-TypeProduit-fra,GSINCode-NIBSCode,GSINDescription-NIBSDescription-eng,GSINDescription-NIBSDescription-fra,date-file-published
72101504,"Disaster proofing or contingency services","Services de prévoyance et de mise à l'épreuve de catastrophe",L4,Construction,Construction,5159,"Other special trade construction work","Autres travaux d'entreprises de construction spécialisées",2021-05-12
72101506,"Elevator maintenance services","Services de maintenance d'ascenseurs",L4,Construction,Construction,5169,"Other installation work","Autres travaux de pose d'installations",2021-05-12
72101510,"Plumbing system maintenance or repair","Entretien ou réparation de la plomberie",L4,Construction,Construction,5162,"Water plumbing and drain laying work","Pose d'installations de distribution d'eau et de tout-à-l'égout",2021-05-12
72101511,"Air conditioning installation or maintenance or repair service","Service d'installation, d'entretien ou de réparation de climatiseurs",L4,Construction,Construction,5161,"Heating, ventilation and air conditioning work","Pose d'installations de chauffage, de ventilation et de climatisation",2021-05-12
72101512,"Hoist construction service","Service de construction de treuils",L4,Construction,Construction,5159,"Other special trade construction work","Autres travaux d'entreprises de construction spécialisées",2021-05-12
72101513,"Offsite construction service","Service de construction hors site",L4,Construction,Construction,5159,"Other special trade construction work","Autres travaux d'entreprises de construction spécialisées",2021-05-12
72101514,"Refuse area construction service","Service de construction de l'aire d'élimination des déchets",L4,Construction,Construction,5159,"Other special trade construction work","Autres travaux d'entreprises de construction spécialisées",2021-05-12
72101515,"Subsidence service work","Travaux d'entretien d'affaissement",L4,Construction,Construction,5159,"Other special trade construction work","Autres travaux d'entreprises de construction spécialisées",2021-05-12
72101519,"Gas fitting installation service","Service d'installation de raccords à gaz",L4,Construction,Construction,5163,"Gas fitting construction work","Pose d'appareils à gaz",2021-05-12
72101520,"Roof framing service","Service d'ossature de toit",L4,Construction,Construction,5159,"Other special trade construction work","Autres travaux d'entreprises de construction spécialisées",2021-05-12
72101521,"Building framing service","Service d'ossature de bâtiment",L4,Construction,Construction,5159,"Other special trade construction work","Autres travaux d'entreprises de construction spécialisées",2021-05-12
72103100,"Conveyance systems installation and repair","Réparation et installation de systèmes de transport",L3,Construction,Construction,5169,"Other installation work","Autres travaux de pose d'installations",2021-05-12
72103300,"Infrastructure maintenance and repair services","Services d'entretien et de réparation d'infrastructure",L3,Construction,Construction,5159,"Other special trade construction work","Autres travaux d'entreprises de construction spécialisées",2021-05-12
72110000,"Residential building construction services","Services de construction de bâtiments résidentiels",L2,Construction,Construction,5121,"General Construction Work for one and two dwelling buildings","Travaux de construction de Maisons à un ou deux logements",2021-05-12
72111000,"Single family dwelling construction services","Services de construction de maisons individuelles",L3,Construction,Construction,5121,"General Construction Work for one and two dwelling buildings","Travaux de construction de Maisons à un ou deux logements",2021-05-12
72111100,"Multiple unit dwelling construction services","Services de construction d'édifices à logements multiples",L3,Construction,Construction,5122,"General Construction Work for multi-dwelling buildings","Travaux de construction d'Immeubles collectifs",2021-05-12
72120000,"Nonresidential building construction services","Services de construction de bâtiments non résidentiels",L2,Construction,Construction,5123,"General Construction Work for warehouses and industrial buildings","Travaux de construction d'Entrepôts et de bâtiments industriels",2021-05-12
72121000,"New industrial building and warehouse construction services","Services de construction de bâtiments industriels et d'entrepôts",L3,Construction,Construction,5123,"General Construction Work for warehouses and industrial buildings","Travaux de construction d'Entrepôts et de bâtiments industriels",2021-05-12
72121100,"Commercial and office building construction services","Services de construction d'édifices commerciaux et d'immeubles à bureaux",L3,Construction,Construction,5124,"General Construction Work for commercial buildings","Travaux de construction de Bâtiments commerciaux",2021-05-12
72121101,"Commercial and office building new construction service","Service de construction d'immeubles commerciaux et de bureaux",L4,Construction,Construction,5124,"General Construction Work for commercial buildings","Travaux de construction de Bâtiments commerciaux",2021-05-12
72121102,"Commercial and office building prefabricated erection service","Service de montage d'immeubles commerciaux et de bureaux préfabriqués",L4,Construction,Construction,5124,"General Construction Work for commercial buildings","Travaux de construction de Bâtiments commerciaux",2021-05-12
